NAME,ADDRESS,CLASS,ZONE,City,Country,Latitude,Longitude
ARTHUR PARK,4215 SHERWOOD DR,C,WEST,Regina,Canada,50.47373,-104.64486
GARDINER PARK,424 UNIVERSITY PARK DR,B,EAST,Regina,Canada,50.4372573,-104.5537229
REALTORS PARK,4310 MONTAGUE ST,B,SOUTH,Regina,Canada,50.40979,-104.63118
LAIRD PARK,4310 SHERWOOD DR,B,WEST,Regina,Canada,50.47669,-104.6428
ANGUS ROAD PARK,"435, 465 & 497 ANGUS RD",B,NORTH,Regina,Canada,50.4727375,-104.6205002
WALTER PARK,44 WALTER CRES,B,WEST,Regina,Canada,50.4868727,-104.6669518
QUEEN STREET PARK,4410 QUEEN ST,B,SOUTH,Regina,Canada,50.40929999999999,-104.63809
TIBBITS PARK,4525 MONTAGUE ST,B,SOUTH,Regina,Canada,50.40713,-104.62877
MEMORIAL CROSS PARK,4527 ELLARD WAY,B,WEST,Regina,Canada,50.50409,-104.6464
BENSON PARK,4550 8TH AVE,B,WEST,Regina,Canada,50.45744000000001,-104.64601
ACT BALL PARK,460 ELPHINSTONE ST,C,NORTH,Regina,Canada,50.4716844,-104.6335755
3RD AVENUE PARK,4610 3RD AVE,B,WEST,Regina,Canada,50.4653599,-104.6481699
JIM CAIRNS PARK,4712 GLASS ST,B,SOUTH,Regina,Canada,50.41200019999999,-104.6498179
ELLIS PARK,4740 HARBOUR LANDING DR,B,SOUTH,Regina,Canada,50.40376000000001,-104.65268
CHANNEL HEAD PARK,48 WOODWARD AVE,C,NORTH,Regina,Canada,50.478289,-104.6236816
MCNAB PARK,4802 11TH AVE,C,WEST,Regina,Canada,50.4491616,-104.6470508
SANGSTER PARK,496 SANGSTER BLVD,B,NORTH,Regina,Canada,50.48992,-104.62645
TUTOR PARK,4975 TUTOR WAY,B,SOUTH,Regina,Canada,50.41543,-104.65096
FINES DRIVE PARK,499 FINES DR,C,EAST,Regina,Canada,50.4493,-104.53854
CANUCK PARK,4990 TUTOR WAY,B,SOUTH,Regina,Canada,50.41699,-104.65233
REIBLING PARK,50 CAVENDISH ST,B,EAST,Regina,Canada,50.4518546,-104.5588149
DALGLIESH PARK,50 DALGLIESH DR,B,WEST,Regina,Canada,50.4862893,-104.6495903
NEW ALBERT PARK,5002 MCTAVISH ST,B,SOUTH,Regina,Canada,50.39868,-104.63539
MCKENNA PARK,5033 PADWICK RD,B,SOUTH,Regina,Canada,50.3998599,-104.64961
NORSEMAN PARK,5081 BEACON DR,B,SOUTH,Regina,Canada,50.3994189,-104.6585977
RYAN PARK,51 RYAN RD,B,SOUTH,Regina,Canada,50.40099,-104.64031
TOOTHILL PARK,510 TOOTHILL ST,C,WEST,Regina,Canada,50.46794999999999,-104.68601
KAYTOR PARK,5201 WATSON WAY,B,WEST,Regina,Canada,50.50624,-104.65555
RAMBLER PARK,5215 14TH AVE,C,,Regina,Canada,50.4442385,-104.6588059
OPTIMIST PARK,5221 DEWDNEY AVE,B,WEST,Regina,Canada,50.4536299,-104.65542
SHANNON PARK,525 SHANNON RD,B,SOUTH,Regina,Canada,50.39794999999999,-104.6069799
SHOWLER PARK,5303 UNIVERSAL CRES,B,SOUTH,Regina,Canada,50.4041826,-104.6561549
RAMBLER PARK,5310 13TH AVE,C,CENTRAL,Regina,Canada,50.44607,-104.65653
ROSEMONT SCHOOL PARK,5310 4TH AVE,C,WEST,Regina,Canada,50.4633996,-104.6565958
SHERWOOD  MILNE PARK,5310 SHERWOOD DR,B,WEST,Regina,Canada,50.4780024,-104.6572644
ABERDEEN PARK,5320 1ST AVE,B,WEST,Regina,Canada,50.46729,-104.65799
GRASSICK PARK,5325 DEWDNEY AVE,B,WEST,Regina,Canada,50.45368999999999,-104.65975
FAIRCHILD PARK,5350 AERODROME RD,B,SOUTH,Regina,Canada,50.40775,-104.65619
BEACON PARK,5389 AERIAL CRES,B,SOUTH,Regina,Canada,50.4021,-104.65647
DOLPHIN PARK,54 B DOLPHIN BAY,C,SOUTH,Regina,Canada,50.40541469999999,-104.6122137
MCNAUGHTON PARK,54 MCNAUGHTON AVE,B,WEST,Regina,Canada,50.48155999999999,-104.64728
