NAME,ADDRESS,CLASS,ZONE,City,Country
ENGLEWOOD PARK,165 PETERSMEYER ST,B,NORTH,Regina,Canada
EWART PARK,1564 N DEVONSHIRE DR,B,WEST,Regina,Canada
FAFARD PARK,5910 KOEP AVE,B,WEST,Regina,Canada
FAIRCHILD PARK,5350 AERODROME RD,B,SOUTH,Regina,Canada
FINES DRIVE PARK,499 FINES DR,C,EAST,Regina,Canada
FIREHALL PARK,281 RINK AVE,B,WEST,Regina,Canada
FLAMINGO PARK,19 FLAMINGO CRES,C,SOUTH,Regina,Canada
FLEET PARK,1728 FLEET ST,B,EAST,Regina,Canada
FREDERICK W. HILL MALL,2199 11TH AVE,A,CENTRAL,Regina,Canada
FRENCH PARK,1055 N MCINTOSH ST,B,WEST,Regina,Canada
FUHRMANN PARK,170 FUHRMANN CRES,B,WEST,Regina,Canada
GARDINER PARK,424 UNIVERSITY PARK DR,B,EAST,Regina,Canada
GARDINER PARK EXTENSION,1320 E TRUESDALE DR,B,EAST,Regina,Canada
GARNET PARK,3310 AVONHURST DR,B,NORTH,Regina,Canada
GARUIK PARK,281 TRIFUNOV CRES,B,NORTH,Regina,Canada
GLEN ELM PARK,1501 BOND ST,B,EAST,Regina,Canada
GLENCAIRN PARK,2626 E DEWDNEY AVE,B,EAST,Regina,Canada
GOCKI PARK,2230 LINDSAY ST,B,CENTRAL,Regina,Canada
GOLDMAN PARK,1900 NORMAN MACKENZIE RD,B,NORTH,Regina,Canada
GORDON PARK,3509 GORDON RD,B,SOUTH,Regina,Canada
GRASSICK PARK,5325 DEWDNEY AVE,B,WEST,Regina,Canada
GRASSICK PLAYGROUND PARK,901 GARNET ST,B,CENTRAL,Regina,Canada
GREEN MEADOW PARK,3598 GREEN BANK RD,B,EAST,Regina,Canada
GREENBURG PARK,1956 BRODER ST,B,CENTRAL,Regina,Canada
HAMMERSTROM PARK,402 HALIFAX ST,C,NORTH,Regina,Canada
HAMPSHIRE PARK,6410 HEFFERNAN DR,C,WEST,Regina,Canada
HANSEN DRIVE PARK,542 HANSEN DR,C,WEST,Regina,Canada
HARDING PARK,2952 HARDING ST,B,EAST,Regina,Canada
HASTINGS PARK,216 HASTINGS CRES,B,WEST,Regina,Canada
HAVILLAND PARK,5401 TUTOR WAY,B,SOUTH,Regina,Canada
HAYWORTH CRESCENT PARK,750 RINK AVE,B,WEST,Regina,Canada
HEFFERNAN PARK,6415 HEFFERNAN DR,B,WEST,Regina,Canada
HENRY BRAUN PARK,951 MIDDLETON CRES,B,EAST,Regina,Canada
HENRY JANZEN PARK,390 DALGLIESH DR,B,WEST,Regina,Canada
HENRY JANZEN PARK EXTENSION,939 DALGLIESH DR,B,WEST,Regina,Canada
HILL PARK,2755 E DEWDNEY AVE,B,EAST,Regina,Canada
HIND PARK,20 HIND ST,B,WEST,Regina,Canada
HIRD PARK,6530 HIRD CRES,B,WEST,Regina,Canada
HOLLAND PARK,410 HOLLAND AVE,B,CENTRAL,Regina,Canada
HOPSON PARK,3100 ROCHDALE BLVD,B,NORTH,Regina,Canada
HOWELL PARK,2705 E HOWELL DR,B,EAST,Regina,Canada
HUDSON PARK,3890 PARLIAMENT AVE,B,SOUTH,Regina,Canada
IANNONE PARK,6301 DEWALT AVE,B,WEST,Regina,Canada
IMPERIAL PARK,305 ROSE ST,B,NORTH,Regina,Canada
JENKINS DRIVE PARK,3706 E JENKINS DR,B,EAST,Regina,Canada
JIM CAIRNS PARK,4712 GLASS ST,B,SOUTH,Regina,Canada
JOLLY PARK,2714 E SWAIN PL,B,EAST,Regina,Canada
JUNIPER PARK,1000 STOCKTON ST,B,WEST,Regina,Canada
KAYTOR PARK,5201 WATSON WAY,B,WEST,Regina,Canada
KEN JENKINS PARK,210 MCINTOSH ST,B,WEST,Regina,Canada
KINGS ROAD PARK,3003 PASQUA ST,B,SOUTH,Regina,Canada
KINSMEN PARK NORTH,750 PASQUA ST,B,CENTRAL,Regina,Canada
KINSMEN PARK SOUTH,3310 LAKEVIEW AVE,B,SOUTH,Regina,Canada
KIWANIS PARK EXTENSION,2475 ELPHINSTONE ST,B,CENTRAL,Regina,Canada
KIWANIS WATERFALL PARK,2755 ELPHINSTONE ST,A,SOUTH,Regina,Canada
KRAHN PARK,7045 MAPLE RIDGE DR,B,WEST,Regina,Canada
LACON PARK,3101 LACON ST,B,EAST,Regina,Canada
LAIRD PARK,4310 SHERWOOD DR,B,WEST,Regina,Canada
LAKERIDGE PARK,5560 LEIBEL CRES,B,WEST,Regina,Canada
LAKERIDGE SPORTS PARK,5451 ROCHDALE BLVD,B,WEST,Regina,Canada
LAKEVIEW PARK,2910 ATHOL ST,C,SOUTH,Regina,Canada
LAKEWOOD PARK,6024 WHELAN DR,B,WEST,Regina,Canada
L'ARCHE PARK,3215 LAKEVIEW AVE,C,SOUTH,Regina,Canada
LEOPOLD CRESCENT PARK,3110 18TH AVE,C,CENTRAL,Regina,Canada
LES SHERMAN PARK NORTH,4055 15TH AVE,B,CENTRAL,Regina,Canada
LES SHERMAN PARK SOUTH,3955 17TH AVE,B,CENTRAL,Regina,Canada
LESLIE PARK & LAWN BOWLING PARK,3820 VICTORIA AVE,B,CENTRAL,Regina,Canada
LITZENBERGER PARK,100 RINK AVE,B,WEST,Regina,Canada
LORIMER PARK,19 LORIMER CRES,B,NORTH,Regina,Canada
LUCY ELEY PARK,1915 RETALLACK ST,C,CENTRAL,Regina,Canada
M.J. COLDWELL PARK,115 FAIRVIEW RD,B,NORTH,Regina,Canada
m├ómaw├¬yatit├ón park,3350 7TH AVE,C,CENTRAL,Regina,Canada
MAAT PARK,1701 N ELKS RD,B,WEST,Regina,Canada
MABLE BROWN PARK,225 MIKKELSON DR,B,WEST,Regina,Canada
MAHON PARK,130 BROTHERTON AVE,B,EAST,Regina,Canada
